글쓰기 지시문
한글의 우수성에 대해 설명해 보세요.

학생 정보
학년,초5
지역,서울
성별,남
출처,리딩엠

지시문 정보
분량,100
키워드,

학생 답변
"우리나라, 즉 대한민국은 대표적으로 k-pop, 김치, 한글이 유명하다. 먼저 k-pop은 우리나라 보이그룹 #@이름#이 대표적이다. 대한민국 전통 음식인 김치는 몸에도 좋고 맛도 좋아 빵과 함께 먹으면 일품이다. 마지막으로 한글은 #@이름#이 창제한 독창적인 글자로 현재까지도 그 가치를 인정받아 사용되고 있다. 한글은 그 창제 정신이 자주, 애민, 실용에 있다는 점에서부터 세계적인 인정을 받는다. 뿐만 아니라 그 제자원리와 글자의 독창성과 과학성에 있어서도 뛰어나다고 평가받는 글이다. 한글처럼 인류가 사용하는 문자 중에서 창제자와 창제년도가 명확히 밝혀진 글은 드물다. 한글이 사용하기 쉽다는 점은 문맹퇴치에 기여하기도 했다. 한글이야말로 대한민국의 중요한 유산이자 보존해야할 우리나라의 보물이다. 이러한 한글의 우수성을 지켜나가야만 한다.
 우리는 우리의 역사를 잘 알아놓아야 한다. 그래야만 우리나라의 중요한 유산인 한글도 지킬 수 있다. 우리의 역사를 잘 알아놓게 않는다면 후손들이 왜곡된 역사를 인지할 수 있게 되어 한 나라로써 망신을 당할 수 있다. 또, 역사를 잘 익혀두면 과거에 했던 일들을 알게 되어 현재를 대비할 수 있다. 외국에 놀러갔을 때 나를 설명해주는 중요한 재료가 될 수도 있다. 따라서 우리는 역사를 잘 알아야 한다.  특히 우리 한글은 소리흉내말이나 모양 흉내말을 표현할 때 굉장히 유용하다. 말들이 예쁠 뿐만 아니라 자음은 자음과 조화를 시키고, 모음은 모음과 조화를 시켜 특유의 소리를 만들어낼 수 있다. 아울러 우리 한글은 글자 모양이 조합을 이뤄야 하나의 완성된 글자가 되므로 건축미가 담겨 있다. 자음은 자음대로, 모음은 모음대로 좋은 자재가 되어 아름다운 건물처럼 보여지기도 하고 조각품같기도 하다. 한글의 우수성 뿐만 아니라 아름다움을 보여주는 사례라고 할 수 있다."
