글쓰기 지시문
"현대사회에서 사회적 불평등이 어떻게 형성되고 있는지 설명하고, 이를 해소하기 위한 정책에 대해 논술하세요."

학생 정보
학년,20~30대
지역,부산
성별,여
출처,리딩엠

지시문 정보
분량,
키워드,

학생 답변
"과거에 비해 불평등이 상당히 완화되었다고는 하나, 현대사회에서도 여전히 사회적 불평등이 형성되어 있음은 부정할 수 없는 사실이다. 예를 들어, 최근데 십시일반>이라는 책을 읽었는데, 이는 사회적 불평등과 그로 인해 발생하는 차별에 대해 깊이 있게 다룬 책이다. 이 책을 통해 장애인들이 겪는 차별과 그들이 처한 현실을 이해하게 되었다. 여기에서 가장 인상 깊었던 내용은 장애인에 관한 건데, 나라에서 지급해주는 돈이 턱없이 부족하다는 것이다. 주인공이 한 아이의 엄마인데, 그 아이는 뇌성마비로 말도 잘 못하고 다리도 잘 움직이지 않는다. 그래서 돈을 벌어야 하는데, 장애인이라는 이유로 일자리를 찾기 어려운 상황에 놓여 있다. 결국 나라에서 지급해주는 돈이 28만원 체 되지 않는다는 것이다. 이처럼 생계를 유지하기 힘든 상황에 놓인 장애인들의 모습은 안타까웠다. 나의 생각으론 장애인이라는 이유로 차별 받고, 나라에서 주는 돈이 너무 적다는 것이 매우 안타까웠다. 나라가 더욱 복지에 노력을 했으면 좋을 것 같다. 
 이 책을 읽으면서 다른 사람이 차별을 받는 것이 생각나게 되었다. TV에서 본 건데, 어떤 다문화 가정이 등장했다. 그 가정은 흑인이라는 이유로 사람들이 냄새가 난다고 하는 등의 이유로 차별을 받는다. 그리고 아무도 물건을 사주지 않아서 가난하게 사는 것이다. 이처럼 다른 사람과 다르다는 이유로 차별을 하지 않으면 좋겠다. 나도 차별을 받은 적이 있다. 체험학습에서 선생님께서 여자는 모두 다 같이 먹는데 남자들만 4명씩 먹으라는 것이다. 여자는 다 같이 먹는데 남자는 4명씩 먹어서 화가 났다. 그래도 이건 미약한 차별이지만 차별을 하면 안 된다고 생각한다. 
 나는 차별이 심하다는 것을 알고, 이것에 대한 해결책을 알아보아야겠다고 생각했다. 차별 문제를 해결하려면 우선 개인의 노력이 중요하다고 생각한다. 사람들이 다르다는 이유로 차별을 하지 않도록 편견을 없애야 한다. 특히 장애인에 대한 인식 개선이 필요하다. 이를 위해 내가 할 수 있는 작은 일부터 시작해야겠다. 장애인에 대한 봉사를 늘리고, 다문화 가정들에게도 약간의 복지를 제공했으면 좋겠다. 그리고 TV 프로그램 등을 통해 이러한 차별의 고통을 알리는 것도 좋은 방법인 것 같다. 왜냐하면 TV 프로그램은 많은 사람들이 쉽게 접근할 수 있는 매체이기 때문이다. 
 차별이 없는 세상은 매우 좋을 것 같다. 사람들이 차별을 하지 않기 때문에 장애인이나 다양한 배경을 가진 사람들도 마음껏 살 수 있기 때문이다. 이처럼 우리가 함께 노력한다면, 차별이 없는 세상을 만드는 데 기여할 수 있을 것이라 믿는다. 나도 이러한 변화를 위해 내 주변 사람들에게 다문화 가정이나 장애인에 대한 이야기를 나누고, 서로 이해할 수 있도록 노력해야겠다. 차별을 없애기 위해서는 우리 모두의 마음가짐과 행동이 필요하다. 
 차별이 없는 세상을 만들기 위한 해결책으로 정부의 정책도 중요한 역할을 한다. 예를 들어, 장애인에 대한 복지를 늘리고, 다문화 가정에 대한 지원을 강화하는 정책이 필요하다. 정부는 이러한 정책을 통해 차별을 줄이고, 사회적으로 약한 계층이 더 나은 환경에서 생활할 수 있도록 도와야 한다. 또한, 교육을 통해 어린이들에게 다름을 이해하고 존중하는 법을 가르쳐야 한다. 이러한 변화가 이루어진다면, 차별이 없는 사회는 단순한 꿈이 아닌 현실이 될 수 있을 것이다. 
 또한, 정부는 정책을 통해 사람들에게 차별의 문제를 인식시켜야 한다. 다양한 캠페인을 통해 차별의 심각성을 알리고, 사회적 연대감을 형성하는 것도 중요한 방법이다. 이런 캠페인은 사람들이 차별의 문제를 깊게 이해하고, 그 해결을 위해 함께 노력하게 만드는 데 큰 역할을 할 것이다. 
 결국, 차별이 없는 세상은 모두가 행복하게 살 수 있는 공간이 될 것이며, 우리는 그 꿈을 위해 오늘부터 한 걸음씩 나아가야 한다. 작은 노력이 모여 큰 변화를 만들 수 있음을 잊지 말아야겠다. 그래서 나는 앞으로 더 많은 사람들과 소통하고, 차별의 문제를 해결하기 위해 더욱 열심히 노력할 것이다. 이처럼 차별 문제 해결을 위해서는 모든 사람들이 힘을 모아야 한다는 점을 다시 한 번 깨닫게 되었다."
