글쓰기 지시문
디지털 문화의 확산이 우리에게 미치는 영향은?

학생 정보
학년,20~30대
지역,경기
성별,남
출처,리딩엠

지시문 정보
분량,
키워드,

학생 답변
"우리나라 교육 현장도 디지털화의 변화를 크게 느꼈다. 인터넷 강의는 인터넷을 이용하여 교육자가 진행하는 사이버 원격 수업으로, 보통 줄임말로 '인강'이라고 한다. 온라인 강의라고도 하며, 대학교의 원격 수업은 사이버 강의나 '싸강'이라고 하기도 한다. 이는 일반적으로 녹화된 영상을 강의 사이트에서 학생이 찾아보는 방식이며, 드물게 실시간 스트리밍으로 진행하기도 한다. 보통 기본 강의는 녹화로 진행하고, 질의응답은 스트리밍으로 진행하는 방식이 많다. 한국에서 가장 큰 인터넷 강의는 대학 입시용 수능 시험 또는 고등학교 내신 과목을 위한 사교육이다. 가중된 취업난과 자격증 취득, 어학 시험에 대한 수요 등으로 인하여, 성인을 대상으로 하는 어학, 자격증 인터넷 강의 시장도 대입 인강 시장 못지않게 형성되어 있다.
 물론 인터넷 강의가 수강생들에게 편리한 것은 사실이다. 자기가 원하는 강의만을 선택해서, 전국 어디에서나 장소 구애 받지 않고 들을 수 있기 때문이다. 학원 입장에서도 강의실, 책상 수는 한정되어있으므로 실강 수강보다 더 많은 학생들을 유인할 수 있고, 효율적이라는 장점이 있다. 또한 교육 불평등 해소의 관점에서도 인터넷 강의는 큰 역할을 하였다. 학원들이 있는 서울이나 도시에서 멀리 떨어져 있거나, 비싼 강의를 수강하기에 경제적으로 어려움이 있었던 학생들도 인터넷 강의를 통해서 최고의 강사의 강의를 집에서도 들을 수 있게 되었기 때문이다.
 그러나 인터넷 강의가 좋은 점만 있는 것은 아니다. 인터넷 강의는 오히려 학습자의 스스로 학습하는 능력을 저하시킬 수 있다. 인터넷 강의는 사교육기관의 일부이고 굉장히 이해되기 쉽게 알려준다. 그렇지 않으면 경쟁력이 떨어지기 때문이다. 그런데 고등학교 졸업 이후에는, 이렇게 설명을 잘해주는 선생님도 없고 인터넷 강의가 있다 할지라도 고등학교 때 듣던 인강과는 확연하게 퀄리티가 떨어질 수 밖에 없다. 인터넷 강의에만 의존하게 되어 스스로 학습하는 능력이 떨어진 학생은 이후 적응이 굉장히 힘들어질 수 있다.
 또한 강사와 학생이 어느정도 양방향으로 소통하는 현장 강의에 비해, 동영상은 일방향적으로 전달하는 매체이고, 이를 감독자 없이 오로지 시청하는 학생의 자율에 모든 것을 맡기며, 나머지는 그 누구도 책임지지 않기 때문에 샛길로 새는 경우가 많다. 실강은 그나마 강사가 주의를 줄 수도 있고, 다른 수강생들과 함께 있다는 사실만으로 경쟁심리가 생기고, 긴장해서 집중하는데 도움이 될 수도 있다. 그러나 인강에서는 수강자를 바로잡아 주는 선생님도, 비교 대상이 되는 다른 수강자들도 없어 집중력이 떨어질 수밖에 없다.
  실강의 경우는 강사나 상황에 따라 즉시 질문질답을 할 수 있지만, 인강은 동영상이기 때문에 즉각적인 문답이 불가능하다. 현장강의는 수업이 끝나면 강사에게 가서 몰랐던 부분을 바로 메울 수 있고, 아예 강의 시간에 질문을 받는 경우도 많지만 인터넷 강의는 질문 자체가 아예 불가능하거나 극도로 제한적이기 때문에 문제풀이 강좌를 이용할 수밖에 없다. 물론 인터넷 강의도 온라인 질문 게시판이 있는 경우가 많지만 답변이 달릴 때까지 아무리 빨라도 수 시간, 길면 며칠 이상 소요되는 게 기본이고, 보통 답변 자체도 강사 대신 조교들이 답변하는 경우가 많다. 그리고 답변 이후에 학생이 제대로 이해했는지 확인할 수 없다는 것도 문제이다. 글로만 의사소통을 해야하기 때문에 질문자도 알고 싶은 부분을 상세히 물어보고 답변하기에 어려움이 있고, 강사가 학생의 질문을 잘 이해하지 못했을 경우 실강처럼 ""이러이러한 부분을 알고 싶은 거냐?""라고 재차 확인할 수가 없다 보니 학생의 질문 의도를 제대로 이해하지 못하거나 아예 잘못 이해해서 답변의 질이 낮아지거나 학생이 알고 싶었던 것과 전혀 다른 답변을 하게 되는 경우도 많다.
 인터넷 강의마다 다르겠지만 보편적으로 적어야 10분, 길게는 2시간 이상의 영상으로 강의가 이루어진다. 이에 따라 학습하는 시간을 의도치 않게 과하게 투자하게 되는 경우가 많다. 이를 인지하고 다양한 인터넷 강의 사이트에서는 배속 기능을 넣어두었지만 배속 기능은 사람에 따라, 배우는 대상에 따라 용이할 수도 있고 오히려 불편해질 수도 있다는 양날의 검을 지니고 있다.
 마지막으로, 인터넷 강의는 불법 복제 및 불법 공유 방지의 대상이 된다는 단점이 있다. 또한 수강료를 인원수대로 받을 수 있는 현강에 비해 여러 명이 한 인강을 공동 구매하는 데 특별한 제재를 가하기가 힘들다.
 이처럼 인터넷 강의는 수강자와 제공자에게 모두 장단점을 가진다."
