글쓰기 지시문
경제 성장이 민주주의 발전에 미친 영향에 대해 논술하세요.

학생 정보
학년,20~30대
지역,대전
성별,여
출처,리딩엠

지시문 정보
분량,
키워드,

학생 답변
"우리나라는 실제 박정희 정부를 통해 급진적인 경재 성장을 몸소 겪어 왔다. 그러나, 민주주의가 발전하기 위해서는 경제적 안정이 전제 조건이라느 사실은 부인할 수 없다. 실제로 민주주의는 국민경제가 발달하여 번영과 안정을 누리고 국민의 대다수가 높은 물질적 생활수준을 향유하는 여건하에서 발전이 기대된다고 할 수 있다. 역사적으로 볼 때 근대 민주주의는 경제가 발전하여 부르주아 계급이 성장했다. 현대에 와서 민주주의는 산업이 발달된 선진자본주의 국가에서 성장, 발달하였다. 이처럼 산업발달과 상공부르주아의 등장이 절대군주체제하의 경직된 권위주의사회를 타도하고 그것이 민주주의를 발전시킨 것을 볼 때 민주주의와 경제발전간에는 상호밀접한 연관성이 있음을 부정할 수 없다. 정체적이며 변화가 없는 농업사회는 동태적인 산업사회에 비할 때 독재정치 형태가 운영될 가능성이 높다. 국민의 대부분이 농업에 종사하여 경제적으로 빈곤한 국가에서는 서구형태의 민주주의는 실현되기가 거의 불가능하다.농업 사회로는 사회의 발전과 경제적 발전을 온전히 이루기에 한계가 있기 때문이다. 예컨대 라틴아메리카, 아프리카, 아세아 등 대부분의 국가들은 민주적 기반이 성숙되지 않은 상황이나 여건에서 민주주정치제도를 도입하였으나 그것이 단지 형식에 그쳤을 뿐 실제에 있어서는 예외없이 거의 실패하거나 혼란한 정정을 거듭하고 있는 실정이기 때문이다. 그러한 원인은 여러 가지 측면에서 찾을 수 있겠지만 무엇보다도 경제적 빈곤으로 인해 교육환경이 충분하지 못하므로 국민대중이 무지한 데에 있다고 할 수 있다. 다시 말하면 경제적으로 빈곤의 악순환과 저소득 그리고 국가 재정의 열악으로 인해 국민을 충분히 교육시킬 수 없고 교육을 받지 못한 국민은 민주시민으로서의 자격요건을 갖추지 못하며, 이러한 민주시민의 자질이 부족한 국민들로부터 민주주의의 성장이나 발전을 기대한다는 것은 불가능한 일이라고 하지 않을 수 없을 것이다. 따라서 민주주의가 발전하기 위한 조건의 하나로서는 경제적 안정이 기반이 되어야 한다. 경제적 안정이 이뤄진 상황에서 민주주의는 보다 긍정적인 효과를 일으킬 수 있다. 첫번째로는 정부의 평화로운 교체를 가능하게 하고, 장기적인 경제적 안정성을 촉진할 수 있게 된다. 다음으오로 민주적 정부는 규제 환경에 대한 명확한 규칙과 투명성을 제공하여 기업이 오랜 꼐획을 세울 수 있도록 도울 수 있다. 또 시민 참여를 가능케 하여 시민들의 정치적 책임감과 소유권 감각을 조성하여 투자와 혁신을 장려할 수 있게 된다. 끝으로 민주주의는 권력을 다양한 기관에 분산하여 부패와 권력 남용을 최소화하는 데 도움이 될 수 있다. 이처럼 경제적 안정이 이뤄진다면 민주주의의 성장은 더욱 빠르게 이뤄질 것이고, 이로 인해 또한 경제적 안정이 더욱 활성화될 것이다. 따라서 두 관계의 비례한다고 볼 수 있다. 물론 민주주의와 경제성장률 간의 관계는 복잡하며 어떠한 결론을 도출하는 단순한 계산 공식이 아니라는 점에서 앞으로도 계속 논의될 만한 주제이다. 960년부터 2010년까지 175개 국가의 데이터를 통해 살펴봤을 때 비민주주의 국가에서 민주주의 국가로 탈바꿈한 경우 장기적으로 인구 일인당 GDP 성장률이 20%나 더 높아졌다는 통계 결과를 봤을 때, 민주주의의 경제적인 영향력은 무시할 수 없다.  민주화 직전에 대체로 GDP가 하강한다는 점을 모델에 반영해서 다시 민주주의와 경제 성장의 관계를 살펴보면 민주주의가 경제 성장에 미치는 긍정적인 영향은 훨씬 선명하게 드러나기 때문이다. 또한 민주주의에서 비민주주주의로 회귀한 국가들의 경우 장기적 경제 성장 지표가 부정적인 것을 알 수 있다. 아무래도 민주주의가 경제 성장을 야기하는 이유는 민주주의가 되면서 투자가 늘어나고 교육 수준이 높아지며 경제 개혁에 대한 열망이 높아지기 때문이다. 또한 공공 서비스의 질이 향상되고 사회적 동요가 줄어들면서 경제 활동에 유리한 환경이 조성되기 때문에 긍정적인 효과가 더욱 발휘될 수밖에 없다. 결론적으로는 개방성을 촉진하고, 교육과 보건을 중시하기 때문이라는 것이 설명의 일환입니다. 싱가포르와 홍콩은 개방성을 유지하고 교육과 보건에 집중 투자했기 때문에 민주주의가 가져오는 경제적 이익을 무시할 수 없다."
