글쓰기 지시문
문학이 우리 삶에 미치는 영향력과 의미는?

학생 정보
학년,20~30대
지역,서울
성별,여
출처,리딩엠

지시문 정보
분량,
키워드,

학생 답변
"문학이 주는 긍정적인 영향 중 하나는 공감과 이해를 통한 연대감을 형성하는 데 있다. 작품 속의 캐릭터들의 경험을 통해 독자들은 다양한 배경과 경험을 공유하고, 이는 사회적 융합과 이해의 바탕이 된다. 예를 들어, 소수자의 이야기를 다룬 작품은 다양성에 대한 이해를 높이고, 사회적 차별에 대한 인식을 증진시켜 긍정적인 변화를 이끌어낼 수 있다. 
세계화가 진행되면 될수록 세계 각 나라들은 교류가 활성화될 것이다. 뿐만 아니라 인종간 갈등, 종교간 갈등, 현지인과 외지인의 갈등 여러 갈등이 상존하고 있다. 우리나라의 경우도 출생율이 저하되면서 노동력 부족으로 골머리를 앓고 있는데, 그 노동력을 베트남을 비롯해 동남아시아에서 많이 충원을 받고 있다. 그들이 국내에서 결혼을 하고 자녀를 낳고 하면서 다문화 가정이 형성된다. 이런 시대상을 반영한 문학작품도 많아지고 있다.
 #@이름#의 가위바위보>는 국가인권위원회에서 기획한 책이다. 이 책은 방글라데시, 몽골, 베트남, 인도네시아 등 여러나라에서 온 사람들이 일상 생활 속에서 겪는 차별과 편견에 대해 다루고 있다. 그러므로 이 책은 바로 우리 곁에 존재하는 여러가지 차별에 관해서 쓴 내용이다. 외모, 국적, 종교 등이 달라 차별당하는 사람들의 이야기를 잘 풀어 썼다. 우리 주변에서 우리와 피부색, 머리색, 눈동자 등등 생김새가 조금 다르고, 다른 언어를 쓰는 사람들을 종종 볼 수 있다. 흔히 '외국인 노동자'라고 부르는 사람들이다. 그런데 어느 나라에서 왔는지, 왜 왔는지, 낯선 곳에서 힘든 점은 없는지 별로 관심을 두지 않는다. 오히려 다르다는 이유 로 무시하거나 차별하기도 한다.
 #@이름#의 가위바위보>에서 다룬 내용 중  ""마, 마미, 엄마""라는 베트남 다문화 가정과 한국인이 같은 집에 살아가는 이야기가 있다. 이야기를 읽고 나서 ""아~ 외국인 노동자과 함께 생활하는 대한민국 사람들은 무엇이든지 잘못된 일이 있으면 외국인 노동자의 책임이거나 잘못으로 생각하구나. 정말 내가 대한민국 사람이지만 외국인 노동자에게 미안하고 부끄럽다.""라고 생각하게 되었다. 이런 것들이 문학이 지닌 영향력이라고 할 수 있다. 문학을 통해 자신을 돌아보고 이웃을 돌아보는 좋은 계기가 되고, 우리 사회는 한층 더 발전해나갈 수 있을 것이다. 문학의 영향력은 매우 지대하다
그 중에서도 가장 인상 깊었던 부분은 #@이름#가 카레를 먹을 때 옆에 있던 친구가 #@이름#과 같은 종교를 믿으니 같은 사람이라고 말했던 장면이다. 이 모습은 우리들도 무의식적으로 하는 행동이기도 하다. 요즘 '미국=#@이름#=미국 국민'이라는 이상한 공식도 사실이 아니라는 것을 알지만 우리는 의식하지 못하고 바로잡지도 못한다. 난 이런 점이 공감되어서 이 장면이 인상 깊었다. 이러한 이야기를 통해 외국인 노동자의 인권을 생각해 봄으로써 다른 사회적 약자와 소수자에 대해 다름을 인정하고 배려하는 마음도 키울 수 있게 되었다.  
우리가 하는 차별 중 가장 많이 접하는 것은 바로 외모로 인한 차별이다. 어른들과 선생님들은 외모로 차별하는 것이 나쁜 일이라고 가르친다. 그러면 외모로 차별하는 일은 정말 나쁜 일인가? 쉽게 예를 들어, 우리 반에 있는 친구들이 내가 키가 작고 못생겨서 더이상 어울리지 않겠다고 말했다고 가정해 보자. 부당하다고 느낄 것이다. 내가 부당하다고 느꼈다면 당연히 나쁜 일이 된다. 
만약 외국인 이웃과 차별없이 잘 지내기 위해서는 어떻게 해야할까. 가장 좋은 방법은 옆집으로 이사가는 것이다. 하지만 이것은 실현하기 너무 어려우니 마음의 거리를 두지 않는 것이라 생각한다. 일반인처럼 대하고 그 사람의 문화와 생각을 이해해 준다면 틀림없이 좋은 이웃이 될 것이다. 타당한 이유가 없으면 차별을 하지 말아야 한다. 
문학은 이렇듯 현실 고발 차원에 그치거나 가진자로서 베풀어라 라는 단순한 입장 전달 뿐 아니라 넓은 시각으로 다른 문화의 사람들과 어울려 살아 갈 수 있도록 한단계 더 깊은 이야기를 전달 해 준다. 이렇듯 직접적으로 차별이 나쁘다고 가르치는 것보다 글로 다양한 예시와 함께 자연스럽게 느끼게 해주는 것이 더 오래 마음 속에 남을 것이다."
