글쓰기 지시문
인권과 법의 중요성에 대해 설명하세요.

학생 정보
학년,초5
지역,인천
성별,남
출처,리딩엠

지시문 정보
분량,100
키워드,

학생 답변
"나는 사회가 범죄자들을 감옥에 가두거나 약물로 벌을 주는 것에 반대한다.
그 이유는 첫째 범죄자들도 인권이 있기 때문이다. 수술을 할 때 마취 주사를 놓는 것도 머리에 아주 안좋다고 한다. 마취주사처럼 약물도 몸에 안좋으므로 약물을 놓지 않아야 한다. 결국 그 사람들도 범죄를 저질렀지만, 헌법에 명시 되어 있는 것처럼 범죄자들도 결국에는 우리와 동등한 사람이기 때문이다. 
둘째 범죄자들도 가족이 있기때문이다. 범죄자이지만 그 가족들이 슬퍼할거다. 만약 자기의 가족이 감옥에 있거나  약물을 맞야아 할 때 너무 마음이 아플 것이다. 결국에는 범죄자들에 대한 벌은 범죄자의 가족에게 행해지는 것과 마찬가지일 것이다. 범죄자가 잘못한 것은 사실이지만, 그에 대한 대가는 계속 논의될 필요가 있다.  개인이 사회에서 자유롭고 평등하게 살 수 있도록 하는 기본적인 조건을 제공한다.  요즘 사회적 질서와 개인의 자유가 자주 충돌합니다. 어떤 사람들은 개인의 자유를 원하고, 또 어떤 사람은 사회적 질서를 원합니다.  인권과 질서유지는 어느 한쪽이 중요하다기 보다는  모두에게 필효하다. 인권이 보장되지 않는 사회에서 남녀노소 모두가 제대로 된 자유과 권리를 누릴 수 없다. 또한 질서가 무너지면 인권보호하기도 힘들어진다. 그래서 둘 모두 우리 사회 공동체를 유지하기 위해 매우 중요하다. 인권은 모든 사람에게 평등한 기회를 보장하고, 차별을 금지하는 중요한 원칙이다. 인종, 성별, 종교, 장애, 성적 지향 등 어떠한 이유로도 차별받지 않을 권리를 제공함으로써, 사회의 모든 구성원이 동등하게 존중받고 기여할 수 있는 환경을 조성한다. 
내가 대안으로 생각한 것은 반성학교를 만드는 방법이다. 범죄자들을 왔다갔다하게 해서 반성할수 있는 학교에 가게 하는 거다. 그래서 거기서 반성 수업을 듣게 한다. 최대한 자신이 저지른 일에 대해서 피해자의 입장으로 생각해볼 수 있도록 도와주는 것이다. 
또 범죄자 얼굴을 알리는 방법도 있다. 모든 사람들에게 이런 범죄자가 있다고 알리면 사람들이 조심조심 다닐거다. 그러므로 나는 사회가 범죄자들을 감옥에 가두거나 약물로 벌을 내리는 것을 반대 한다."
